from_user,text,created_at
TahrirLive,RT @khaledd_h: #حازم  #ابو_اسماعيل ملخص قرار لجنة الانتخابات\nوالدة ابو اسماعيل امريكية\nوالشعب كله هندي,16/04/2012 23:58
locka3,#ابو_اسماعيل  دة انت ابن وسخة بقى .. لسة بيأاوح العرص دة ؟!!! بيستجهلنا ابن الوسخة ؟؟,16/04/2012 23:58
BraaAlalfy,يابو اسماعيل يا غايظهم #ابو_اسماعيل,16/04/2012 23:53
gimzbond,ارحمو امى انا ابوس اديكو !!\nهرمن هرمنا هرمنا والمصحف\n\n\n#حازئون #حازمون #ابو_اسماعيل #كفاية_حرام,16/04/2012 23:53
amir_nagy,الهتافات امام لجنة الانتخابات الان يابو اسماعيل ادينا اشارة واحنا نجيب طنطاوى فى شيكارة #ابو_اسماعيل,16/04/2012 23:52
dentista_dola,دراويش #ابو_اسماعيل بيتعاملوا معاه على انه جزء من العقيدة,16/04/2012 23:46
MohamedSDahroug,تكهنات عادول #ابو_اسماعيل خارج المنافسه #الشاطر هيكمل,16/04/2012 23:46
ELAzab_,هوه احنا مش هنخلص من فيلم #ابو_اسماعيل  ده ابداً؟؟ نقول كمان... اليمين على من أنكر يا فضيلة الشيخ #Egypt #EgyPresident #AbuIsmail #مصر,16/04/2012 23:45
nOuRa_NuNu,"#ابو_اسماعيل اللى انت عملته يا شيخ حازم وان كنت اعترض على لفظ شيخ ""مش كدب ده فجر""",16/04/2012 23:42
ahmed3zat,الناموس لا دين له ..مش ممكن..واضح انها لعنة #ابو_اسماعيل,16/04/2012 23:38
iMisanthropist,من كان يعبد ابو اسماعيل، فإن ابو اسماعيل قد مات! #حازمون #ابو_اسماعيل #الدين_الجديد #daxomo,16/04/2012 23:36
LORDMADA,"قالك ام #ابو_اسماعيل آخده الجنسية ف أكتوبر 2006 , امال ايه ده بقى؟ http://t.co/Qs0tUf3M",16/04/2012 23:32
islamgawish,RT @magdynour: الأخوة الحازمون ممكن حد يقولنا ايه هو الدليل القاطع المطلوب لإثبات أن ام مرشحهم أمريكية #حازمون #ابو_اسماعيل,16/04/2012 23:30
m_abdallah86,"كل لمّـا اتناقش مع حد من ولاد #ابو_اسماعيل , بقول الحمد لله الذي عفانا مما ابتلي به اخرين",16/04/2012 23:29
ahmedsamirXD,طب مافى داهيه ميتين أم السلطه والانتخابات ! ولا ان سيرة امك تبقى على كل لسان كده ! امى انا ؟! أه امك انت !! #ابو_اسماعيل,16/04/2012 23:24
nabilization,لجنة الرئاسة بتقولكم أم #ابو_اسماعيل أمريكية و انتو شعب هندي....شكرا :),16/04/2012 23:19
d7my11,محدش يستغرب من الحرايق اللي كل شويه تطلع دي #ابو_اسماعيل قالها حكمه ..إدركوا اللحظه الحارقه :D,16/04/2012 23:17
hanysaa,النشطاء والحقوقيين وكل اللي بيدعوا الانصاف ساكتين تماما عن حوار #ابو_اسماعيل والمهزلة اللي حاصلة !!,16/04/2012 23:16
ismailsherif,RT @KarimShedid: الشيخ الشعراوي: إذا وجدتم رجل الدين يستميت على السلطة فلا تولوه.  #ابو_اسماعيل. #حازمون. #HazemSalah. #AboIsmael,16/04/2012 23:15
Hagayes,الدليل اهو يا #ابو_اسماعيل ... الله ينتقم منك زي ما فضحتنا #حازمون #7azem #hazemsalah #hazem http://t.co/kGBlBLTP,16/04/2012 23:13
aya_mohmad,الموضوع ومن الاخر: ربنا بيعاقب انصار #ابو_اسماعيل علشان بيعتصموا بشراسة دفاعا عن كداب ومزور ومكنش ليهم حس لما البنات اتعرت والشباب استشهدت,16/04/2012 23:13
AhmedRefai,هوا #ابو_اسماعيل كان مستني يكون ع الاوراق ختم النسر ولا اييه؟؟ #مصر #egypt وورقتين دمغه لاتتجاوز فيمتهم ال 5جونيه,16/04/2012 23:12
bosbos_basma,ارحموا #ابو_اسماعيل من الافترا و الكذب و طول اللسان #بلا_وكسه  #حازمون,16/04/2012 23:11
fadimck,RT @Abozeidz: كل مره #ابو_اسماعيل بيطلع كداب اكتر من الاول، ما تطلع دين ام الجرين كارد والباسبور المصرى وتثبت ان امك مش امريكيه لو دكر !,16/04/2012 23:08
Abozeidz,@mayramadan تصعيد من ولاد #ابو_اسماعيل  و ممكن غباء من الشرطة العسكرية,16/04/2012 22:57
MustafaSob7y,كل مره #ابو_اسماعيل بيطلع كداب اكتر من الاول، ما تطلع دين ام الجرين كارد والباسبور المصرى وتثبت ان امك مش امريكيه لو دكر !,16/04/2012 22:56
