,from_user,text,created_at
0,TahrirLive,   حازم  ابو اسماعيل ملخص قرار لجنه الانتخاباتوالده ابو اسماعيل امريكيهوالشعب كله هندي,16/04/2012 23:58
1,locka3,ابو اسماعيل  ده انت ابن وسخه بقى  لسه بيااوح العرص ده  بيستجهلنا ابن الوسخه ,16/04/2012 23:58
2,BraaAlalfy,يابو اسماعيل يا غايظهم ابو اسماعيل,16/04/2012 23:53
3,gimzbond,ارحمو امى انا ابوس اديكو هرمن هرمنا هرمنا والمصحفحازئون حازمون ابو اسماعيل كفايه حرام,16/04/2012 23:53
4,amir_nagy,الهتافات امام لجنه الانتخابات الان يابو اسماعيل ادينا اشاره واحنا نجيب طنطاوى فى شيكاره ابو اسماعيل,16/04/2012 23:52
5,dentista_dola,دراويش ابو اسماعيل بيتعاملوا معاه على انه جزء من العقيده,16/04/2012 23:46
6,MohamedSDahroug,تكهنات عادول ابو اسماعيل خارج المنافسه الشاطر هيكمل,16/04/2012 23:46
7,ELAzab_,هوه احنا مش هنخلص من فيلم ابو اسماعيل  ده ابدا نقول كمان اليمين على من انكر يا فضيله الشيخ    مصر,16/04/2012 23:45
8,nOuRa_NuNu,ابو اسماعيل اللى انت عملته يا شيخ حازم وان كنت اعترض على لفظ شيخ مش كدب ده فجر,16/04/2012 23:42
9,ahmed3zat,الناموس لا دين له مش ممكنواضح انها لعنه ابو اسماعيل,16/04/2012 23:38
10,iMisanthropist,من كان يعبد ابو اسماعيل فان ابو اسماعيل قد مات حازمون ابو اسماعيل الدين الجديد ,16/04/2012 23:36
11,LORDMADA,قالك ام ابو اسماعيل آخده الجنسيه ف اكتوبر   امال ايه ده بقى ,16/04/2012 23:32
12,islamgawish,  الاخوه الحازمون ممكن حد يقولنا ايه هو الدليل القاطع المطلوب لاثبات ان ام مرشحهم امريكيه حازمون ابو اسماعيل,16/04/2012 23:30
13,m_abdallah86,كل لمـا اتناقش مع حد من ولاد ابو اسماعيل  بقول الحمد لله الذي عفانا مما ابتلي به اخرين,16/04/2012 23:29
14,ahmedsamirXD,طب مافى داهيه ميتين ام السلطه والانتخابات  ولا ان سيره امك تبقى على كل لسان كده  امى انا  اه امك انت  ابو اسماعيل,16/04/2012 23:24
15,nabilization,لجنه الرئاسه بتقولكم ام ابو اسماعيل امريكيه و انتو شعب هنديشكرا ,16/04/2012 23:19
16,d7my11,محدش يستغرب من الحرايق اللي كل شويه تطلع دي ابو اسماعيل قالها حكمه ادركوا اللحظه الحارقه ,16/04/2012 23:17
17,hanysaa,النشطاء والحقوقيين وكل اللي بيدعوا الانصاف ساكتين تماما عن حوار ابو اسماعيل والمهزله اللي حاصله ,16/04/2012 23:16
18,ismailsherif,  الشيخ الشعراوي اذا وجدتم رجل الدين يستميت على السلطه فلا تولوه  ابو اسماعيل حازمون  ,16/04/2012 23:15
19,Hagayes,الدليل اهو يا ابو اسماعيل  الله ينتقم منك زي ما فضحتنا حازمون    ,16/04/2012 23:13
20,aya_mohmad,الموضوع ومن الاخر ربنا بيعاقب انصار ابو اسماعيل علشان بيعتصموا بشراسه دفاعا عن كداب ومزور ومكنش ليهم حس لما البنات اتعرت والشباب استشهدت,16/04/2012 23:13
21,AhmedRefai,هوا ابو اسماعيل كان مستني يكون ع الاوراق ختم النسر ولا اييه مصر  وورقتين دمغه لاتتجاوز فيمتهم ال جونيه,16/04/2012 23:12
22,bosbos_basma,ارحموا ابو اسماعيل من الافترا و الكذب و طول اللسان بلا وكسه  حازمون,16/04/2012 23:11
23,fadimck,  كل مره ابو اسماعيل بيطلع كداب اكتر من الاول ما تطلع دين ام الجرين كارد والباسبور المصرى وتثبت ان امك مش امريكيه لو دكر ,16/04/2012 23:08
24,Abozeidz, تصعيد من ولاد ابو اسماعيل  و ممكن غباء من الشرطه العسكريه,16/04/2012 22:57
25,MustafaSob7y,كل مره ابو اسماعيل بيطلع كداب اكتر من الاول ما تطلع دين ام الجرين كارد والباسبور المصرى وتثبت ان امك مش امريكيه لو دكر ,16/04/2012 22:56
26,Avanti_ultras,   هتافات ولاد ابو اسماعيل دلوقتى لو فيها فساد حى ع الجهاد  ثوره ثوره حتى النصر حازم هو رئيس مصر ابو اسماعيل ,16/04/2012 22:56
27,free_liberals,هتافات ولاد ابو اسماعيل دلوقتى لو فيها فساد حى ع الجهاد  ثوره ثوره حتى النصر حازم هو رئيس مصر ابو اسماعيل ,16/04/2012 22:55
28,magdynour,ﻓﻰ ﻧﺎﺱ ﺑﺘﺠﻴﺐ ﺍﻟﺘﻬﺰﻳﻖ ﻻﻫﻠﻴﻬﺎ ﺍﺑﻮ ﺍﺳﻤﺎﻋﻴﻞ,16/04/2012 22:54
29,ramy_bakazaboka,مفاجاه الماده تعيد ابو اسماعيل للرئاسه  نفسي افهم ده محامي ولا بتاع طرشي ابو اسماعيل,16/04/2012 22:50
